id,name,messiahLine,levitical,judge,initiallyVisible,hadCollapsedChildren,age,yearsLived,born,died,tribe,spouse,refs,tooltipRaw
894,Shamir,false,false,false,false,false,,,,,,,,"Shamir

(1 Chronicles 24:24)"
895,Mishael (or Micah),false,false,false,false,false,,,,,,,Exodus 6:22; Numbers 3:30,"Mishael (or Micah)

(Exodus 6:22, Numbers 3:30, 1 Chronicles 23:20)"
896,Jekameam,false,false,false,false,false,,,,,,,,"Jekameam

(1 Chronicles 23:19, 1 Chronicles 24:23)"
897,Jahaziel,false,false,false,false,false,,,,,,,,"Jahaziel

(1 Chronicles 23:19, 1 Chronicles 24:23)"
898,Amariah,false,false,false,false,false,,,,,,,,"(1 Chronicles 23:19, 1 Chronicles 24:23)"
899,Jeriah,false,false,false,false,false,,,,,,,,"Jeriah

(1 Chronicles 23:19, 1 Chronicles 24:23)"
900,Shimei,false,false,false,false,true,,,,,,,,(1 Chronicles 4:26)
901,Zaccur,false,false,false,false,false,,,,,,,,(1 Chronicles 4:26)
902,Hammuel,false,false,false,false,false,,,,,,,,"Hammuel

(1 Chronicles 4:26)"
903,Mishmah,false,false,false,false,false,,,,,,,,"Mishmah

(1 Chronicles 4:25)"
904,Mibsam,false,false,false,false,false,,,,,,,Genesis 25:13,"Mibsam

(Genesis 25:13, 1 Chronicles 1:29-31)"
905,Shallum,false,false,false,false,false,,,,,,,,(1 Chronicles 4:25)
906,Shaulites,false,false,false,false,false,,,,,,,,Shaulites
907,Shaul,false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
908,Zarhites,false,false,false,false,false,,,,,,,,Zarhites
909,Zohar (or Zerah),false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"Zohar (or Zerah)

(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
910,Jachinites,false,false,false,false,false,,,,,,,,Jachinites
911,Jachin (or Jarib),false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"Jachin (or Jarib)

(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
912,Ohad,false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"Ohad

(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
913,Jaminites,false,false,false,false,false,,,,,,,,Jaminites
914,Jamin,false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
915,Nemuelites,false,false,false,false,false,,,,,,,,Nemuelites
